region,isos,source
advanced economies,bg,demo_2020
advanced economies,hr,demo_2020
advanced economies,cy,demo_2020
advanced economies,mt,demo_2020
advanced economies,ro,demo_2020
advanced economies,au,demo_2020
advanced economies,at,demo_2020
advanced economies,be,demo_2020
advanced economies,ca,demo_2020
advanced economies,cl,demo_2020
advanced economies,cz,demo_2020
advanced economies,dk,demo_2020
advanced economies,ee,demo_2020
advanced economies,fi,demo_2020
advanced economies,fr,demo_2020
advanced economies,de,demo_2020
advanced economies,gr,demo_2020
advanced economies,hu,demo_2020
advanced economies,is,demo_2020
advanced economies,ie,demo_2020
advanced economies,il,demo_2020
advanced economies,it,demo_2020
advanced economies,jp,demo_2020
advanced economies,kp,demo_2020
advanced economies,lv,demo_2020
advanced economies,lt,demo_2020
advanced economies,lu,demo_2020
advanced economies,mx,demo_2020
advanced economies,nl,demo_2020
advanced economies,nz,demo_2020
advanced economies,no,demo_2020
advanced economies,pl,demo_2020
advanced economies,pt,demo_2020
advanced economies,sk,demo_2020
advanced economies,si,demo_2020
advanced economies,es,demo_2020
advanced economies,se,demo_2020
advanced economies,ch,demo_2020
advanced economies,tr,demo_2020
advanced economies,gb,demo_2020
advanced economies,us,demo_2020
caspian,am,demo_2020
caspian,az,demo_2020
caspian,ge,demo_2020
caspian,kz,demo_2020
caspian,kg,demo_2020
caspian,tj,demo_2020
caspian,tm,demo_2020
caspian,uz,demo_2020
developing asia,bd,demo_2020
developing asia,cn,demo_2020
developing asia,in,demo_2020
developing asia,kp,demo_2020
developing asia,mn,demo_2020
developing asia,np,demo_2020
developing asia,pk,demo_2020
developing asia,lk,demo_2020
developing asia,tw,demo_2020
developing asia,bn,demo_2020
developing asia,kh,demo_2020
developing asia,id,demo_2020
developing asia,la,demo_2020
developing asia,my,demo_2020
developing asia,mm,demo_2020
developing asia,ph,demo_2020
developing asia,sg,demo_2020
developing asia,th,demo_2020
developing asia,vn,demo_2020
developing asia,af,demo_2020
developing asia,bt,demo_2020
developing asia,ck,demo_2020
developing asia,fj,demo_2020
developing asia,pf,demo_2020
developing asia,ki,demo_2020
developing asia,mo,demo_2020
developing asia,mv,demo_2020
developing asia,nc,demo_2020
developing asia,pw,demo_2020
developing asia,pg,demo_2020
developing asia,ws,demo_2020
developing asia,sb,demo_2020
developing asia,tl,demo_2020
developing asia,to,demo_2020
developing asia,vu,demo_2020
europe,al,demo_2020
europe,by,demo_2020
europe,ba,demo_2020
europe,mk,demo_2020
europe,gi,demo_2020
europe,is,demo_2020
europe,il,demo_2020
europe,xk,demo_2020
europe,me,demo_2020
europe,no,demo_2020
europe,rs,demo_2020
europe,ch,demo_2020
europe,md,demo_2020
europe,tr,demo_2020
europe,ua,demo_2020
europe,at,demo_2020
europe,be,demo_2020
europe,bg,demo_2020
europe,hr,demo_2020
europe,cy,demo_2020
europe,cz,demo_2020
europe,dk,demo_2020
europe,ee,demo_2020
europe,fi,demo_2020
europe,fr,demo_2020
europe,de,demo_2020
europe,gr,demo_2020
europe,hu,demo_2020
europe,ie,demo_2020
europe,it,demo_2020
europe,lv,demo_2020
europe,lt,demo_2020
europe,lu,demo_2020
europe,mt,demo_2020
europe,nl,demo_2020
europe,pl,demo_2020
europe,pt,demo_2020
europe,ro,demo_2020
europe,sk,demo_2020
europe,si,demo_2020
europe,es,demo_2020
europe,se,demo_2020
europe,gb,demo_2020
global,bg,demo_2020
global,hr,demo_2020
global,cy,demo_2020
global,mt,demo_2020
global,ro,demo_2020
global,au,demo_2020
global,at,demo_2020
global,be,demo_2020
global,ca,demo_2020
global,cl,demo_2020
global,cz,demo_2020
global,dk,demo_2020
global,ee,demo_2020
global,fi,demo_2020
global,fr,demo_2020
global,de,demo_2020
global,gr,demo_2020
global,hu,demo_2020
global,is,demo_2020
global,ie,demo_2020
global,il,demo_2020
global,it,demo_2020
global,jp,demo_2020
global,kp,demo_2020
global,lv,demo_2020
global,lt,demo_2020
global,lu,demo_2020
global,mx,demo_2020
global,nl,demo_2020
global,nz,demo_2020
global,no,demo_2020
global,pl,demo_2020
global,pt,demo_2020
global,sk,demo_2020
global,si,demo_2020
global,es,demo_2020
global,se,demo_2020
global,ch,demo_2020
global,tr,demo_2020
global,gb,demo_2020
global,us,demo_2020
global,dz,demo_2020
global,eg,demo_2020
global,ly,demo_2020
global,ma,demo_2020
global,tn,demo_2020
global,ao,demo_2020
global,bj,demo_2020
global,bw,demo_2020
global,cm,demo_2020
global,cg,demo_2020
global,ci,demo_2020
global,cd,demo_2020
global,er,demo_2020
global,et,demo_2020
global,ga,demo_2020
global,gh,demo_2020
global,ke,demo_2020
global,mu,demo_2020
global,mz,demo_2020
global,na,demo_2020
global,ne,demo_2020
global,ng,demo_2020
global,sn,demo_2020
global,za,demo_2020
global,ss,demo_2020
global,sd,demo_2020
global,tz,demo_2020
global,tg,demo_2020
global,zm,demo_2020
global,zw,demo_2020
global,bd,demo_2020
global,cn,demo_2020
global,in,demo_2020
global,mn,demo_2020
global,np,demo_2020
global,pk,demo_2020
global,lk,demo_2020
global,tw,demo_2020
global,bn,demo_2020
global,kh,demo_2020
global,id,demo_2020
global,la,demo_2020
global,my,demo_2020
global,mm,demo_2020
global,ph,demo_2020
global,sg,demo_2020
global,th,demo_2020
global,vn,demo_2020
global,af,demo_2020
global,bt,demo_2020
global,ck,demo_2020
global,fj,demo_2020
global,pf,demo_2020
global,ki,demo_2020
global,mo,demo_2020
global,mv,demo_2020
global,nc,demo_2020
global,pw,demo_2020
global,pg,demo_2020
global,ws,demo_2020
global,sb,demo_2020
global,tl,demo_2020
global,to,demo_2020
global,vu,demo_2020
global,am,demo_2020
global,az,demo_2020
global,ge,demo_2020
global,kz,demo_2020
global,kg,demo_2020
global,tj,demo_2020
global,tm,demo_2020
global,uz,demo_2020
global,ar,demo_2020
global,bo,demo_2020
global,br,demo_2020
global,co,demo_2020
global,cr,demo_2020
global,cu,demo_2020
global,cw,demo_2020
global,do,demo_2020
global,ec,demo_2020
global,sv,demo_2020
global,gt,demo_2020
global,ht,demo_2020
global,hn,demo_2020
global,jm,demo_2020
global,ni,demo_2020
global,pa,demo_2020
global,py,demo_2020
global,pe,demo_2020
global,sr,demo_2020
global,tt,demo_2020
global,uy,demo_2020
global,ve,demo_2020
global,ai,demo_2020
global,ag,demo_2020
global,aw,demo_2020
global,bs,demo_2020
global,bb,demo_2020
global,bz,demo_2020
global,bm,demo_2020
global,bq,demo_2020
global,vg,demo_2020
global,ky,demo_2020
global,dm,demo_2020
global,fk,demo_2020
global,gf,demo_2020
global,gd,demo_2020
global,gp,demo_2020
global,gy,demo_2020
global,mq,demo_2020
global,ms,demo_2020
global,lc,demo_2020
global,pm,demo_2020
global,vc,demo_2020
global,mf,demo_2020
global,tc,demo_2020
global,hk,demo_2020
global,ru,demo_2020
global,al,demo_2020
global,by,demo_2020
global,ba,demo_2020
global,mk,demo_2020
global,gi,demo_2020
global,xk,demo_2020
global,me,demo_2020
global,rs,demo_2020
global,md,demo_2020
global,ua,demo_2020
global,bh,demo_2020
global,ir,demo_2020
global,iq,demo_2020
global,jo,demo_2020
global,kw,demo_2020
global,lb,demo_2020
global,om,demo_2020
global,qa,demo_2020
global,sa,demo_2020
global,sy,demo_2020
global,ae,demo_2020
global,ye,demo_2020
global,gq,demo_2020
global,bf,demo_2020
global,bi,demo_2020
global,cv,demo_2020
global,cf,demo_2020
global,td,demo_2020
global,km,demo_2020
global,dj,demo_2020
global,gm,demo_2020
global,gn,demo_2020
global,gw,demo_2020
global,ls,demo_2020
global,lr,demo_2020
global,mg,demo_2020
global,mw,demo_2020
global,ml,demo_2020
global,mr,demo_2020
global,re,demo_2020
global,rw,demo_2020
global,st,demo_2020
global,sc,demo_2020
global,sl,demo_2020
global,so,demo_2020
global,ug,demo_2020
global,ad,demo_2020
global,as,demo_2020
global,bl,demo_2020
global,fm,demo_2020
global,fo,demo_2020
global,gg,demo_2020
global,gl,demo_2020
global,gu,demo_2020
global,im,demo_2020
global,je,demo_2020
global,kn,demo_2020
global,kr,demo_2020
global,mh,demo_2020
global,mp,demo_2020
global,nr,demo_2020
global,pr,demo_2020
global,sh,demo_2020
global,sm,demo_2020
global,sx,demo_2020
global,sz,demo_2020
global,tv,demo_2020
global,vi,demo_2020
global,wf,demo_2020
global,yt,demo_2020
global,NA,demo_2020
